,apical,cell_soma_location,dendrite_type,disease_state,specimen_id,name,reconstruction_type,reporter_status,species,structure_area_abbrev,structure_area_id,structure_layer_name,transgenic_line,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,superseded,tags,total_length,total_surface,total_volume
19,NA,"[9053.27700660491, 1589.12991046347, 8323.9297066378]",aspiny,,591517805,Vip-IRES-Cre;Ai14-319671.04.01.01,,positive,Mus musculus,VISp,385,6a,Vip-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NA,"[8399.85778683815, 717.829201553976, 3398.20911227937]",aspiny,,479771670,Rorb-IRES2-Cre-D;Ai14-196665.03.02.01,,negative,Mus musculus,VISp,385,2/3,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,intact,"[9035.61577467492, 864.671601580766, 7925.70842298861]",spiny,,513593674,Cux2-CreERT2;Ai14-239082.05.01.01,,positive,Mus musculus,VISp,385,2/3,Cux2-CreERT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NA,"[9351.33869899615, 667.238044534289, 3767.40752234676]",aspiny,,583822407,Htr3a-Cre_NO152;Ai14-314135.02.02.01,,positive,Mus musculus,VISp,385,2/3,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,intact,"[110.0, 122.0, 240.0]",spiny,tumor,569095789,H17.06.004.11.05.04,full,,Homo Sapiens,AnG,12136,2,,89.98538531855141,,0.8211157722358221,0.289548541051215,54.0,1.0,,599474134.0,7.0,330.66098096165,full,22.0,49.0,2452.0,5.0,27.0,106.0998,256.025715662666,374.603996139365,0.1144,0.1144,0.28,77.9360619469783,False,3D Neuron Reconstruction morphology,2977.16114576258,2703.13488006966,204.11517694513
24,NA,"[8755.21531421366, 1123.35765144039, 7448.13158915937]",aspiny,,585080288,Vip-IRES-Cre;Ai14-315368.04.01.01,,positive,Mus musculus,VISp,385,6a,Vip-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NA,"[274.0, 331.0, 228.0]",aspiny,tumor,576095991,H17.06.007.11.08.01,full,,Homo Sapiens,MFG,12116,5,,79.4595943242205,,0.817674203742556,0.5670601039067089,49.6666666666667,1.0,,610882075.0,5.0,307.537700491879,full,33.0,74.0,3449.0,8.0,41.0,82.2679,284.16231571644,330.444441842243,0.1144,0.1144,0.28,579.863544636425,False,3D Neuron Reconstruction morphology,4044.13520162641,7199.44584528473,1030.7558897675501
26,intact,"[312.0, 280.0, 89.0]",spiny,epilepsy,545608578,H16.03.010.13.06.01,,,Homo Sapiens,MTG,12141,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,truncated,"[79.0, 273.0, 86.0]",spiny,epilepsy,561467633,H16.06.013.12.08.05,,,Homo Sapiens,MTG,12141,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NA,"[8646.14258496886, 1041.82729070927, 7628.69085263281]",aspiny,,572410577,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-299579.04.01.01,,positive,Mus musculus,VISp,385,5,Nos1-CreERT2|Sst-IRES-FlpO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,intact,"[8946.0, 1049.47686967241, 8202.56063466474]",spiny,,470098860,Scnn1a-Tg3-Cre;Ai14-181566.04.01.01,,positive,Mus musculus,VISp,385,4,Scnn1a-Tg3-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,intact,"[70.0, 260.0, 108.0]",spiny,epilepsy,528706755,H16.06.009.01.01.15.01,dendrite-only,,Homo Sapiens,MTG,12141,2,,78.1026468440023,,0.8846626036905492,0.4516629627005,72.9523809523809,0.9767477500191439,,722014861.0,10.0,506.667562509999,dendrite-only,42.0,92.0,6456.0,8.0,50.0,109.4652,570.800744998721,535.311200751167,0.1144,0.1144,0.28,311.568275073469,False,3D Neuron Reconstruction morphology,7475.743311706991,10643.8648974441,1285.53437076225
31,intact,"[8983.96602419027, 896.579275114655, 8186.01779636337]",spiny,,473611755,Rorb-IRES2-Cre-D;Ai14-181715.03.01.01,dendrite-only,positive,Mus musculus,VISp,385,2/3,Rorb-IRES2-Cre,56.075096571077005,,0.89998330953772,0.415032130071423,41.7272727272727,0.8219379939330099,,491253836.0,5.0,341.189667773407,dendrite-only,22.0,49.0,1921.0,5.0,27.0,69.7356,420.655834557945,259.35580701682096,0.1144,0.1144,0.28,348.121157638609,False,3D Neuron Reconstruction morphology,2189.54286413929,2862.12923351281,349.002428784272
32,NA,"[8617.64837926385, 1476.7592705822, 2876.13839694213]",aspiny,,580537822,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671.04.02.02,,positive,Mus musculus,VISp,385,5,Nkx2-1-CreERT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,intact,"[9030.34918411327, 832.558651793604, 3681.91310831678]",spiny,,479091820,Scnn1a-Tg3-Cre;Ai14-195195.04.02.01,,positive,Mus musculus,VISp,385,4,Scnn1a-Tg3-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NA,"[8976.63502144556, 1295.51331478617, 8057.36086373136]",aspiny,,475549334,Pvalb-IRES-Cre;Ai14-185362.03.01.01,dendrite-only,positive,Mus musculus,VISp,385,5,Pvalb-IRES-Cre,62.0214930962399,,0.9052983939344449,0.317247412917106,75.8,0.964713713261636,,491119982.0,4.0,384.935435281141,dendrite-only,15.0,34.0,2332.0,4.0,19.0,97.16,389.636980159924,392.681919599065,0.1144,0.1144,0.28,529.465583060085,False,3D Neuron Reconstruction morphology,2721.43071886569,2712.6634476684803,232.620981786699
35,intact,"[8778.14313670529, 1528.08594980323, 2903.58329078535]",spiny,,501799874,Ctgf-2A-dgCre;Ai14(IVSCC)-229233.03.02.01,dendrite-only,negative,Mus musculus,VISp,385,6a,Ctgf-T2A-dgCre,76.1278705995882,,0.8762445359525051,0.3598645187310779,50.6290322580645,0.8132307448631629,,546778526.0,17.0,773.3890733063839,dendrite-only,31.0,68.0,3272.0,6.0,37.0,111.6579,800.630035427285,200.725678549109,0.1144,0.1144,0.28,107.19504429156099,False,3D Neuron Reconstruction morphology,3757.71187147813,4253.43534852001,442.67833399566297
36,intact,"[7952.74152700644, 1179.56993254323, 3266.62774496741]",spiny,,524857207,Chrna2-Cre_OE25;Ai14(BT)-250843.05.02.01,,positive,Mus musculus,VISp,385,5,Chrna2-Cre_OE25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NA,"[127.0, 354.0, 219.0]",aspiny,tumor,531520637,H16.06.007.01.05.03,full,,Homo Sapiens,FroL,12113,3,,74.33401644364871,,0.8443184208892991,0.672509828681824,106.705882352941,0.999763109991005,,571972079.0,8.0,465.530489058471,full,17.0,38.0,3716.0,4.0,21.0,121.3134,804.441266790802,417.960474165796,0.1144,0.1144,0.28,714.181089605396,False,3D Neuron Reconstruction morphology,4428.04393994944,9406.496025192,1718.8710585459198
38,truncated,"[92.0, 260.0, 67.0]",spiny,epilepsy,530097064,H16.06.010.01.01.06.01,,,Homo Sapiens,ITG,12142,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NA,"[9324.40164147142, 1422.14843576739, 8337.30405246783]",sparsely spiny,,592819166,Vip-IRES-Cre;Ai14-322778.03.01.01,,positive,Mus musculus,VISp,385,5,Vip-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,intact,"[9180.0, 1385.61764211037, 2736.04663363025]",spiny,,490283519,Scnn1a-Tg2-Cre;Ai14-215166.03.02.01,,positive,Mus musculus,VISp,385,4,Scnn1a-Tg2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,intact,"[325.0, 261.0, 109.0]",spiny,epilepsy,488418919,H15.06.017.03.04.01,,,Homo Sapiens,MTG,12141,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,intact,"[9327.9207133412, 1769.29311354215, 2395.52701297609]",spiny,,524090036,Nos1-CreERT2;Ai14(BT)-251974.03.02.01,,positive,Mus musculus,VISp,385,5,Nos1-CreERT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,intact,"[8766.93193131801, 1245.0648598059, 8245.14719127383]",spiny,,314804042,Rorb-IRES2-Cre-D;Ai14-168053.05.01.01,dendrite-only,positive,Mus musculus,VISp,385,5,Rorb-IRES2-Cre,69.6882158390122,,0.890830812861332,0.384915913559396,37.875,0.837657988583219,,491392788.0,8.0,435.525227757369,dendrite-only,28.0,60.0,2141.0,4.0,32.0,57.96,492.715004683258,247.031739457832,0.1144,0.1144,0.28,278.26152864527097,False,3D Neuron Reconstruction morphology,2446.57642607204,3000.00040214516,338.776587966812
44,NA,"[9271.28402191403, 2377.15128266899, 9242.29002967842]",aspiny,,555241040,Chrna2-Cre_OE25;Ai14(BT)-280154.04.01.01,full,positive,Mus musculus,VISli,312782574,6a,Chrna2-Cre_OE25,67.9881267320436,,0.8239511885042891,0.203413657461492,73.6176470588235,0.9680188930583911,,673136338.0,4.0,336.940405395247,full,17.0,39.0,2550.0,5.0,22.0,90.2896,415.306232234572,446.582145787622,0.1144,0.1144,0.28,69.2061361585736,False,3D Neuron Reconstruction morphology,2968.5406756999396,1921.87468088392,101.07712537530199
45,NA,"[9300.0, 2027.05351388297, 9286.87472751387]",aspiny,,561533860,Htr3a-Cre_NO152;Ai14-286731.03.01.01,,positive,Mus musculus,VISl,409,5,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,intact,"[8527.60141567686, 1277.14925029465, 7982.91567338832]",spiny,,488688374,Ntsr1-Cre;Ai14-212351.05.01.01,,negative,Mus musculus,VISp,385,6a,Ntsr1-Cre_GN220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NA,"[8113.23628444789, 697.746102723362, 3215.35548448907]",aspiny,,581058351,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.06.02.01,,positive,Mus musculus,VISp,385,2/3,Nkx2-1-CreERT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,intact,"[8892.78224916346, 1189.75819626682, 3501.75597247892]",spiny,,588729065,Esr2-IRES2-Cre;Ai14-316922.03.02.01,,positive,Mus musculus,VISp,385,5,Esr2-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,intact,"[8557.22884119046, 1089.71449795276, 3496.57811375038]",spiny,,488679042,Rorb-IRES2-Cre-D;Ai14-212872.04.02.01,dendrite-only,negative,Mus musculus,VISp,385,5,Rorb-IRES2-Cre,75.5888114229523,,0.910968086916278,0.22579834773537197,47.172131147541,0.7770667318474521,,505203923.0,24.0,807.0189766389,dendrite-only,61.0,133.0,6100.0,11.0,72.0,150.5501,807.640796220649,343.461906531427,0.1144,0.1144,0.28,315.74816235280497,False,3D Neuron Reconstruction morphology,7272.1466299562,5138.7611787681,305.37818460144797
50,intact,"[8416.06170723784, 1034.96454101367, 7976.75066325859]",spiny,,599177740,Tlx3-Cre_PL56;Ai14-329464.05.01.01,,positive,Mus musculus,VISp,385,5,Tlx3-Cre_PL56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,intact,"[9786.13201766808, 1488.0162688598, 3645.03747629524]",spiny,,579662784,Vipr2-IRES2-Cre;Ai14-310515.02.02.01,,positive,Mus musculus,RSPagl,894,5,Vipr2-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,NA,"[9285.52616169147, 2078.69764785673, 2478.89108021072]",aspiny,,583403073,Chrna2-Cre_OE25;Pvalb-T2A-Dre;Ai66-312583.03.02.01,,positive,Mus musculus,VISl,409,6a,Chrna2-Cre_OE25|Pvalb-T2A-Dre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,truncated,"[9326.14017165814, 1186.77561019516, 3151.62764017782]",spiny,,480169202,Rorb-IRES2-Cre-D;Ai14-197353.03.02.01,,negative,Mus musculus,VISp,385,4,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NA,"[8203.758961728, 1615.87732782576, 9067.37897241918]",aspiny,,484744672,Pvalb-IRES-Cre;Ai14-201773.05.01.01,,positive,Mus musculus,VISal,402,5,Pvalb-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,intact,"[9500.0, 1457.70390846111, 2712.51995564777]",spiny,,502267531,Nr5a1-Cre;Ai14-230422.03.02.01,dendrite-only,positive,Mus musculus,VISp,385,4,Nr5a1-Cre,69.11278564962579,,0.920430723093934,0.243252241012611,48.6111111111111,0.735005168968575,,519261988.0,5.0,401.379395643503,dendrite-only,18.0,45.0,1948.0,9.0,27.0,76.16,445.706226970496,214.75552100898202,0.1144,0.1144,0.28,97.5131814947977,False,3D Neuron Reconstruction morphology,2263.2157111735896,1732.2163842425598,113.602009985434
56,intact,"[326.0, 243.0, 108.0]",spiny,epilepsy,616647103,H17.03.005.11.09.02,full,,Homo Sapiens,MTG,12141,2,,82.8309144617791,,0.7921470096091411,1.1567301052016001,68.0,0.9931368940656871,,673700971.0,8.0,474.74534676242104,full,34.0,76.0,4787.0,8.0,42.0,121.5024,463.769686075952,370.970282079519,0.1144,0.1144,0.28,253.12363782514598,False,3D Neuron Reconstruction morphology,5784.52205340854,21069.5673633442,6677.460448333431
57,NA,"[8673.73055792799, 1285.87606858024, 8613.34875468505]",aspiny,,473951795,Htr3a-Cre_NO152;Ai14-182494.04.01.01,,positive,Mus musculus,VISp,385,4,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NA,"[9236.69958653798, 1557.66754231461, 2944.28930416508]",aspiny,,530737765,Nos1-CreERT2;Ai14(BT)-260226.04.02.01,full,positive,Mus musculus,VISp,385,5,Nos1-CreERT2,75.07693064056491,,0.8355895728311039,0.542904782723217,61.925,1.0,,596793240.0,4.0,320.335668848068,full,20.0,45.0,2618.0,5.0,25.0,113.12,427.51759942526496,365.147824932427,0.1144,0.1144,0.28,370.540095746137,False,3D Neuron Reconstruction morphology,3102.6402038573806,5283.49101055728,790.996803427755
59,intact,"[8617.64837926384, 1492.38857188999, 8306.61335513658]",spiny,,488428837,Ntsr1-Cre;Ai14-212352.04.01.01,,positive,Mus musculus,VISp,385,6a,Ntsr1-Cre_GN220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,intact,"[9538.80649965223, 1836.43343887416, 3241.35823013891]",spiny,,502367941,Ctgf-2A-dgCre;Ai14(IVSCC)-230665.02.02.01,dendrite-only,positive,Mus musculus,VISp,385,6b,Ctgf-T2A-dgCre,82.50668049377991,,0.9038899663546891,0.6340472909859111,105.277777777778,0.86218269498544,,546781359.0,3.0,496.831994283078,dendrite-only,9.0,23.0,2011.0,5.0,14.0,92.6671,566.701220153457,370.17004536626604,0.1144,0.1144,0.28,1446.5877254190198,False,3D Neuron Reconstruction morphology,2277.2593743318803,4543.13907289201,921.571894719358
61,intact,"[8997.54618698314, 1838.82491510601, 9167.02100438092]",spiny,,497590510,Rorb-IRES2-Cre-D;Ai14-226102.04.01.01,,positive,Mus musculus,VISl,409,5,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NA,"[9697.93378404118, 1933.48345688904, 2427.7596532099]",aspiny,,584872371,Htr3a-Cre_NO152;Ai14-314467.03.02.01,full,positive,Mus musculus,VISp,385,5,Htr3a-Cre_NO152,85.99524205242659,,0.8736002651650571,0.46369893848211496,46.538461538461505,1.0,,596799440.0,6.0,482.828441604401,full,13.0,30.0,1366.0,4.0,17.0,127.0895,639.3789956657711,246.677637851376,0.1144,0.1144,0.28,112.53668452755899,False,3D Neuron Reconstruction morphology,1629.53738477116,2373.48320798812,284.329839386667
63,NA,"[8861.45281779929, 875.613141329462, 3529.11919227559]",aspiny,,488491756,Rorb-IRES2-Cre-D;Ai14-212868.04.02.01,,negative,Mus musculus,VISp,385,4,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,NA,"[8600.0, 1708.27912478957, 1529.31909992203]",aspiny,,562432852,Ndnf-IRES2-dgCre;Ai14-290386.04.02.01,,positive,Mus musculus,VISal,402,1,Ndnf-IRES2-dgCre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,truncated,"[82.0, 272.0, 81.0]",spiny,epilepsy,567776248,H17.06.003.12.06.03,,,Homo Sapiens,MTG,12141,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,NA,"[9500.0, 1405.30182944901, 8720.35890413006]",aspiny,,486754703,Pvalb-IRES-Cre;Ai14-208711.03.01.01,,positive,Mus musculus,VISp,385,2/3,Pvalb-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,truncated,"[322.0, 246.0, 94.0]",spiny,epilepsy,542143598,H16.03.008.11.11.03,full,,Homo Sapiens,MTG,12141,4,,78.86718237076329,,0.8960259518055741,0.5580347929766679,85.88095238095241,0.995728196197511,,606347920.0,11.0,719.5139692032401,full,21.0,46.0,3660.0,4.0,25.0,143.276,876.5799669001191,382.05902054286497,0.1144,0.1144,0.28,317.857089536021,False,3D Neuron Reconstruction morphology,4272.81625925563,7536.11419973345,1099.21140829301
68,NA,"[8050.0, 1106.81668429992, 3396.01009218119]",aspiny,,482773968,Htr3a-Cre_NO152;Ai14-200456.06.02.01,,positive,Mus musculus,VISp,385,5,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,NA,"[9200.00000000001, 1613.63841472451, 2385.61810778752]",aspiny,,486514107,Rorb-IRES2-Cre-D;Ai14-206931.03.02.01,,negative,Mus musculus,VISp,385,4,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,NA,"[8559.0, 1245.46645663822, 8058.38669749425]",aspiny,,491029832,Sst-IRES-Cre;Ai14-216078.05.01.01,,positive,Mus musculus,VISp,385,5,Sst-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,intact,"[127.0, 354.0, 219.0]",spiny,tumor,531520401,H16.06.007.01.07.02,full,,Homo Sapiens,FroL,12113,3,,65.0298913295741,,0.9091208845415419,0.572115845722117,67.7988505747126,0.9624829641064421,,572837189.0,16.0,1026.56720501698,full,87.0,182.0,11933.0,8.0,95.0,163.5144,1154.0061758188401,482.334788321201,0.1144,0.1144,0.28,836.4020702001269,False,3D Neuron Reconstruction morphology,14378.1374495941,25748.8984439159,4154.263073237
72,truncated,"[67.0, 256.0, 110.0]",spiny,epilepsy,527942865,H16.06.008.01.26.04,full,,Homo Sapiens,MTG,12141,5,,71.3006043083775,,0.845900877489379,0.8968018966485609,99.73809523809521,0.930432608365231,,601947670.0,8.0,1201.08680055038,full,21.0,48.0,4260.0,6.0,27.0,134.9334,1307.90464773536,519.473713065535,0.1144,0.1144,0.28,631.7110796621749,False,3D Neuron Reconstruction morphology,5411.47931733359,15266.5960421578,3602.7334653356797
73,intact,"[8404.72297285481, 745.670664409156, 8004.09557485855]",spiny,,517974394,Nr5a1-Cre;Ai14(GSL)-249210.04.01.01,,positive,Mus musculus,VISp,385,2/3,Nr5a1-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,NA,"[9351.33869899615, 1391.06688900974, 8262.15695285891]",aspiny,,464326210,Gad2-IRES-Cre;Ai14-167291.03.01.01,,positive,Mus musculus,VISp,385,5,Gad2-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NA,"[8457.527528141, 883.09866626929, 8509.82744387051]",sparsely spiny,,583141894,Chat-IRES-Cre-neo;Ai14-313182.05.01.01,,positive,Mus musculus,VISp,385,2/3,Chat-IRES-Cre-neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,intact,"[8717.0, 993.400579986192, 3329.13488923495]",spiny,,484738748,Scnn1a-Tg2-Cre;Ai14-200711.05.02.01,,positive,Mus musculus,VISp,385,4,Scnn1a-Tg2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
